Q48730657 | SKIPPED_OBJECT | the ideogram wtc statue detail photograph of a detail of the statue 'the ideogra
Q63854313 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q63854526 | SKIPPED_OBJECT | <div class="fn">
<i>hercules slaying lichas </i></div>  cc-zero|uploaded with pa
Q63854551 | SKIPPED_OBJECT | <div class="fn">
<i>claude renoir ("coco") </i></div>  cc-zero|uploaded with pat
Q63854554 | SKIPPED_OBJECT | <div class="fn">
<i>gustav mahler </i></div>  cc-zero|uploaded with pattypan|art
Q63854555 | SKIPPED_OBJECT | <div class="fn">
<i>thomas fortune ryan </i></div>  cc-zero|uploaded with pattyp
Q63854571 | SKIPPED_OBJECT | <div class="fn">
<i>nymph of the fields </i></div>  cc-zero|uploaded with pattyp
Q63854572 | SKIPPED_OBJECT | <div class="fn">
<i>nymph of the woods </i></div>  cc-zero|uploaded with pattypa
Q63863425 | SKIPPED_OBJECT | <div class="fn">
<i>alexandre-charles monod, 1843-1921, surgeon [obverse] </i></
Q63863426 | SKIPPED_OBJECT | <div class="fn">
<i>monod demonstrating a procedure in the operating theater [re
Q63863756 | SKIPPED_OBJECT | <div class="fn">
<i>dr. david jayne hill </i></div>  cc-zero|uploaded with patty
Q1228420 | TOO_SMALL | 372x500
Q3618989 | TOO_SMALL | 335x600
Q63861999 | SKIPPED_OBJECT | <div class="fn">
<i>pointer standing over a pheasant </i></div>  cc-zero|uploade
Q63862020 | SKIPPED_OBJECT | <div class="fn">
<i>walking terrier </i></div>  cc-zero|uploaded with pattypan|a
Q63862062 | SKIPPED_OBJECT | scott burton six part seating, dc 3 scott burton's furniture sculpture installat
Q63864320 | SKIPPED_OBJECT | <div class="fn">
<i>sir william blackstone </i></div>  cc-zero|uploaded with pat
Q63864359 | SKIPPED_OBJECT | <div class="fn">
<i>nicolas poussin, 1594-1665, painter [obverse] </i></div>  cc
Q63864360 | SKIPPED_OBJECT | <div class="fn">
<i>painter's tools surrounded by a laurel wreath [reverse] </i>
Q63864376 | SKIPPED_OBJECT | <div class="fn">
<i>memorial tablet to the late e. f. andrews </i></div>  cc-zer
Q1800916 | SKIPPED_MIME | image/tiff
Q3742370 | TOO_SMALL | 550x231
Q3937469 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q3937476 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;">blaise cend
Q1964882 | SKIPPED_OBJECT | <div class="fn">
<div style="font-size:0.9em;display:inline-block;">azerbaijani:
Q2089841 | TOO_SMALL | 400x400
Q2096069 | TOO_SMALL | 322x425
Q63861759 | SKIPPED_OBJECT | <div class="fn">
<i>head of a woman </i></div>  cc-zero|uploaded with pattypan|a
Q76529477 | SKIPPED_OBJECT | st michael statue zwolle statue of st michael in front of st michael's church in
Q3879257 | TOO_SMALL | 344x239
Q3984608 | TOO_SMALL | 469x355
Q5450105 | TOO_SMALL | 535x360
Q74254554 | SKIPPED_OBJECT | aula magna-calder-ucv aula magna, "acoustic clouds" (1953) by alexander calder. 
Q5748407 | TOO_SMALL | 518x410
Q4310524 | TOO_SMALL | 300x352
Q4368549 | TOO_SMALL | 795x413
Q4411321 | TOO_SMALL | 449x429
Q3828749 | TOO_SMALL | 714x327
Q3842248 | SKIPPED_OBJECT | <div class="fn">
<div style="font-size:0.9em;display:inline-block;">german:  <di
Q76557519 | SKIPPED_OBJECT | <div class="fn">
<i>self-portrait in a straw hat, bust length </i></div>  cc-zer
Q3525935 | SKIPPED_MIME | image/svg+xml
Q6048079 | TOO_SMALL | 367x500
Q2365608 | TOO_SMALL | 360x450
